dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,BEST_BINS,SIDE_INFO,SAD,MSE,COST_2Nx2N,COST_MSM,COST_2NxN,COST_Nx2N,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,CBF,NON-Z-COEFF,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,COLOC_DEPTH,UP_DEPTH,LEFT_DEPTH,UPLEFT_DEPTH,UPRIGHT_DEPTH,CTX_DEPTH,AVG_NEIGH_DEPTH,SPLIT
1,2,5,1882,68314,101852,1,0.329281,12124,14.5522,108258,112285,104277,104898,0.964141,0.035859,0.940821,0.907084,0.092916,2,1,10,0,138.014,0.353553,139,0.707107,2.23607,0.790569,0,3,2,1,1,1,1,1,5,1,2,2,2,2,1.8,1.93011,1
1,2,0,264,29658,34362.6,1,0.13691,8169,6.64575,44403.2,34326.9,35716.4,35453.5,1.29354,0.293538,0.773876,1.00104,0.001038,1,1,4,0,155.39,0.75,155.39,0.75,0,0,-1,3,2,0,1,1,0,1,3,0,1,1,0,1,0.6,0.821429,1
2,2,0,37,29205,31088,1,0.06057,8888,7.70703,35152.1,31088,32632.2,34917.7,1.13073,0.13073,0.884385,1,0,1,1,17,0,65.123,0.559017,65.123,0.559017,0,0,-1,3,2,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.166667,1
3,2,1,97,41409,47994.4,1,0.137213,10573,11.1628,50948,56598.9,47926.6,50976.9,0.900158,0.099842,0.942028,0.847974,0.152026,2,1,8,0,24.0832,0.25,15.1327,0.5,8,0.75,1,1,2,2,1,0,0,1,4,1,1,0,0,1,0.5,0.845644,1
3,2,0,266,53987,72046.1,1,0.25066,10825,11.6487,85864.1,71978.2,89751.8,73462.3,1.19292,0.192919,0.839071,1.00094,0.000943,2,1,1,-1,0,0,0,0,0,0,-1,2,0,2,1,0,0,1,4,1.5,2,0,0,2,0.916667,1.78029,1
3,1,1,10,50248,50926.9,1,0.013331,10397,11.634,59022.5,54546.5,50926.9,56417.4,1.08206,0.082059,0.862839,0.933643,0.066357,0,0,4,0,34.2345,0.75,34.2345,0.75,0,0,-1,3,2,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.377193,1
4,0,0,2,38657,39004.3,1,0.008903,8800,7.75977,43599,38830.6,39131.6,40914.2,1.1228,0.1228,0.894613,1.00447,0.004472,0,0,1,0,17.0294,0.353553,17.0294,0.353553,0,0,-1,3,2,1,1,0,0,1,3,0.5,1,0,0,1,0.416667,0.692308,1
4,2,4,409,113908,184924,1,0.384029,15143,25.7854,194449,235780,189648,195421,0.824706,0.175294,0.951018,0.78431,0.21569,2,1,5,0,13.6015,1.06066,15.6525,0.25,4.12311,0.559017,0,1,2,2,1,1,1,1,6,1.5,1,1,1,1,0.916667,1.60434,1
4,2,1,242,91791,133810,1,0.314022,14644,21.938,148893,150261,133637,156188,0.990898,0.009102,0.8987,0.89052,0.10948,1,1,3,0,52.6308,0.75,75.1665,0.790569,30,0.25,1,1,2,2,1,0,0,1,4,1.5,1,0,0,1,0.583333,1.66806,1
4,1,1,55,100722,110272,1,0.086603,16025,30.0657,140496,196196,110272,141842,0.7161,0.2839,0.784874,0.562048,0.437952,0,0,1,0,7.07107,0.75,8.24621,0.790569,1.41421,0.25,1,3,2,2,0,0,0,0,2,1.5,0,0,0,0,0.25,1.00004,1
